工号,姓名,刷卡时间,门禁点,部门
030401,华艳,2026-04-17 10:59:58,A座-闸机,用户增长/市场部
30400,魏洋,2026-04-29 10:25:26,A座-闸机,星云科技/用户增长中心/内容运营部
30064,秦霞娜,2026-03-30 09:38:59,A座-闸机,星云科技/技术平台/应用研发部
030150,杨娜斌,2026-04-17 08:44:33,A座-闸机,技术平台中心/基础架构部
30305,金宇志,2026-03-04 08:38:35,A座-闸机,星云科技/商业化中心/销售一部
030507,周桂,2026-04-09 10:41:32,A座-闸机,星云科技/职能线/人力资源部
30503,李娜,2026-03-25 10:49:21,A座-闸机,职能线/人力资源部
30404,郑悦,2026-04-07 10:28:43,A座-闸机,用户增长/内容运营部
030484,卫军,2026-04-20 09:58:51,A座-闸机,职能线/行政法务部
30412,杨刚浩,2026-03-25 10:05:41,A座-闸机,星云科技/用户增长中心/市场部
030206,金勇志,2026-04-30 10:28:33,A座-闸机,星云科技/技术平台/基础架构部
30508,许芳晨,2026-04-10 09:44:58,A座-闸机,星云科技/职能线/行政法务部
30121,陶怡,2026-04-21 08:45:38,A座-闸机,技术平台中心/基础架构部
030104,钱明,2026-03-18 08:47:58,A座-闸机,星云科技/技术平台/数据智能部
030039,华静华,2026-03-19 09:38:17,A座-闸机,技术平台中心/基础架构部
30296,何艳洋,2026-03-09 10:30:45,A座-闸机,星云科技/商业化中心/商业产品部
30086,韩浩怡,2026-03-16 09:27:08,A座-闸机,技术平台中心/基础架构部
030347,魏萍涛,2026-03-27 10:01:59,A座-闸机,商业化中心/销售一部
030107,冯曦静,2026-04-30 08:41:31,A座-闸机,星云科技/技术平台/应用研发部
30092,褚丽,2026-04-21 10:07:46,A座-闸机,星云科技/技术平台/应用研发部
30460,金丽,2026-03-10 09:50:12,A座-闸机,用户增长/内容运营部
30152,郑明娜,2026-04-13 10:17:02,A座-闸机,星云科技/技术平台中心/应用研发部
30278,周英娜,2026-04-02 09:21:03,A座-闸机,星云科技/商业化中心/销售二部
30432,孔艳,2026-03-16 08:27:51,A座-闸机,星云科技/用户增长中心/市场部
030048,李浩超,2026-03-18 08:43:16,A座-闸机,星云科技/技术平台中心/数据智能部
030157,陶曦,2026-03-18 08:01:41,A座-闸机,技术平台中心/应用研发部
30156,秦桂英,2026-03-17 08:21:29,A座-闸机,星云科技/技术平台/应用研发部
30421,许秀英,2026-04-22 10:32:23,A座-闸机,星云科技/用户增长中心/市场部
030311,钱娜,2026-04-28 09:08:36,A座-闸机,商业化中心/销售一部
030457,周丽,2026-03-13 10:49:59,A座-闸机,星云科技/用户增长中心/内容运营部
030332,何欣,2026-04-28 08:21:00,A座-闸机,星云科技/商业化中心/商业产品部
30115,沈红欣,2026-03-09 09:40:03,A座-闸机,星云科技/技术平台/基础架构部
30435,施兰,2026-04-26 10:19:24,A座-闸机,星云科技/用户增长中心/市场部
30084,李兰,2026-04-26 10:38:25,A座-闸机,星云科技/技术平台中心/应用研发部
030312,杨芳,2026-03-24 09:35:39,A座-闸机,商业化中心/销售二部
030249,吕怡,2026-03-02 10:13:34,A座-闸机,商业化中心/销售二部
30364,王英怡,2026-04-24 09:30:17,A座-闸机,星云科技/商业化中心/销售二部
30078,华曦,2026-03-13 08:01:17,A座-闸机,星云科技/技术平台中心/基础架构部
30452,钱桂,2026-03-13 09:01:40,A座-闸机,用户增长/市场部
30396,朱艳,2026-04-30 09:34:58,A座-闸机,星云科技/用户增长中心/市场部
030233,郑桂娜,2026-03-13 08:39:56,A座-闸机,商业化中心/销售二部
30163,蒋艳娟,2026-04-10 08:59:52,A座-闸机,星云科技/技术平台/应用研发部
30462,严娜,2026-03-06 08:46:19,A座-闸机,职能线/人力资源部
30462,严娜,2026-03-03 10:52:33,A座-闸机,星云科技/职能线/人力资源部
030356,施娟,2026-04-07 10:24:56,A座-闸机,星云科技/商业化中心/商业产品部
30110,王磊,2026-03-19 08:20:06,A座-闸机,星云科技/技术平台/应用研发部
30363,郑秀磊,2026-03-25 08:25:14,A座-闸机,商业化中心/销售一部
030427,严丽磊,2026-04-07 09:05:59,A座-闸机,星云科技/用户增长中心/内容运营部
030109,孙玉,2026-03-12 10:28:48,A座-闸机,星云科技/技术平台中心/应用研发部
30116,吴娟洋,2026-03-09 09:07:07,A座-闸机,星云科技/技术平台/应用研发部
030431,金志秀,2026-04-15 10:30:58,A座-闸机,用户增长/市场部
30350,尤杰,2026-04-13 08:19:17,A座-闸机,商业化中心/销售一部
30081,沈伟,2026-04-28 08:58:48,A座-闸机,技术平台中心/应用研发部
030170,严超志,2026-03-06 08:51:48,A座-闸机,星云科技/技术平台中心/基础架构部
30177,朱超,2026-03-11 08:18:10,A座-闸机,星云科技/技术平台/数据智能部
030038,孙军,2026-04-09 09:11:26,A座-闸机,星云科技/技术平台/基础架构部
030448,吴娜,2026-04-17 08:03:18,A座-闸机,星云科技/用户增长中心/内容运营部
30295,王芳军,2026-04-09 09:58:29,A座-闸机,商业化中心/商业产品部
030549,施欣,2026-04-24 08:25:05,A座-闸机,星云科技/技术平台中心/基础架构部
030430,钱英晨,2026-04-06 09:59:04,A座-闸机,用户增长/内容运营部
030029,何静强,2026-04-26 10:02:49,A座-闸机,星云科技/技术平台中心/基础架构部
30270,许刚华,2026-04-28 09:03:19,A座-闸机,星云科技/商业化中心/销售二部
030286,李强,2026-03-02 08:25:23,A座-闸机,星云科技/商业化中心/销售二部
030197,陈浩秀,2026-03-23 10:30:14,A座-闸机,星云科技/技术平台中心/应用研发部
030274,杨丽,2026-03-19 10:43:44,A座-闸机,星云科技/商业化中心/商业产品部
30410,钱宇桂,2026-04-29 09:08:10,A座-闸机,用户增长/市场部
030485,朱天静,2026-04-20 08:06:34,A座-闸机,职能线/人力资源部
30395,韩明涛,2026-03-27 09:25:59,A座-闸机,用户增长/市场部
30028,卫艳,2026-04-16 10:09:12,A座-闸机,星云科技/技术平台中心/基础架构部
30045,魏勇,2026-03-09 08:05:27,A座-闸机,星云科技/技术平台/基础架构部
30495,魏磊悦,2026-04-23 09:28:56,A座-闸机,职能线/人力资源部
030382,卫强英,2026-03-27 09:26:53,A座-闸机,用户增长/内容运营部
30219,郑玉,2026-03-19 10:05:32,A座-闸机,星云科技/商业化中心/销售二部
30346,赵磊,2026-03-30 08:23:46,A座-闸机,商业化中心/商业产品部
30373,郑军,2026-04-23 09:02:13,A座-闸机,用户增长/内容运营部
030497,沈红敏,2026-03-06 09:16:13,A座-闸机,职能线/行政法务部
30184,褚平,2026-03-26 08:48:54,A座-闸机,星云科技/技术平台/应用研发部
030439,郑华欣,2026-03-12 08:32:38,A座-闸机,用户增长/市场部
30336,孔欣,2026-04-22 08:53:11,A座-闸机,星云科技/商业化中心/商业产品部
030168,陶磊,2026-03-18 10:02:11,A座-闸机,星云科技/技术平台/基础架构部
30119,孔欣,2026-04-08 10:40:24,A座-闸机,星云科技/技术平台中心/基础架构部
030515,魏兰,2026-04-09 10:41:30,A座-闸机,职能线/行政法务部
30310,褚丽,2026-04-28 10:14:40,A座-闸机,星云科技/商业化中心/销售二部
30452,钱桂,2026-04-24 10:26:16,A座-闸机,用户增长/市场部
30540,韩伟斌,2026-04-18 15:59:22,A座-闸机,星云科技/技术平台/数据智能部
30395,韩明涛,2026-03-31 10:17:05,A座-闸机,用户增长/市场部
30452,钱桂,2026-03-30 08:27:01,A座-闸机,用户增长/市场部
030053,朱勇悦,2026-03-19 10:44:23,A座-闸机,星云科技/技术平台/数据智能部
030060,赵超,2026-03-09 08:36:42,A座-闸机,星云科技/技术平台/基础架构部
030271,沈军玉,2026-03-03 10:09:54,A座-闸机,商业化中心/销售二部
030173,何兰红,2026-03-02 08:02:06,A座-闸机,星云科技/技术平台中心/数据智能部
30270,许刚华,2026-04-10 09:28:43,A座-闸机,商业化中心/销售二部
030416,钱英玉,2026-04-27 09:34:27,A座-闸机,星云科技/用户增长中心/市场部
30381,张玉霞,2026-04-10 10:36:38,A座-闸机,星云科技/用户增长中心/内容运营部
030153,赵霞红,2026-03-30 08:28:36,A座-闸机,星云科技/技术平台中心/数据智能部
30260,孙英桂,2026-03-25 09:20:06,A座-闸机,星云科技/商业化中心/销售一部
030007,吴明英,2026-03-13 08:03:44,A座-闸机,技术平台中心/数据智能部
30548,吴丽,2026-04-27 10:50:06,A座-闸机,星云科技/商业化中心/商业产品部
30225,赵静浩,2026-04-07 10:46:45,A座-闸机,星云科技/商业化中心/销售一部
30449,华宇娜,2026-04-27 09:30:22,A座-闸机,用户增长/市场部
30434,张红,2026-04-29 08:43:17,A座-闸机,用户增长/市场部
30097,魏娜,2026-03-18 08:31:26,A座-闸机,星云科技/技术平台/数据智能部
30341,秦芳,2026-04-16 10:30:17,A座-闸机,星云科技/商业化中心/销售一部
30176,张浩英,2026-04-17 08:32:59,A座-闸机,星云科技/技术平台/基础架构部
30314,王志敏,2026-04-28 08:37:25,A座-闸机,星云科技/商业化中心/销售一部
30317,蒋英,2026-03-03 08:43:12,A座-闸机,星云科技/商业化中心/销售二部
030522,华敏秀,2026-03-13 10:17:27,A座-闸机,
30285,尤勇丽,2026-04-15 09:08:24,A座-闸机,商业化中心/销售一部
30457,周丽,2026-03-11 08:40:37,A座-闸机,星云科技/用户增长中心/内容运营部
30140,李娟,2026-04-28 09:34:13,A座-闸机,星云科技/技术平台/数据智能部
030037,朱娜,2026-03-05 08:28:59,A座-闸机,技术平台中心/应用研发部
030047,吴宇秀,2026-03-17 09:30:36,A座-闸机,星云科技/技术平台中心/基础架构部
30398,陈桂,2026-04-10 08:06:54,A座-闸机,用户增长/市场部
030488,姜涛悦,2026-03-10 10:48:26,A座-闸机,星云科技/职能线/行政法务部
30428,陶丽英,2026-03-23 09:25:24,A座-闸机,星云科技/用户增长中心/内容运营部
030456,孙娟娜,2026-03-12 10:02:19,A座-闸机,用户增长/市场部
030155,陶超,2026-04-20 08:34:19,A座-闸机,技术平台中心/应用研发部
30216,何欣,2026-03-06 10:08:45,A座-闸机,星云科技/商业化中心/销售二部
30356,施娟,2026-04-03 10:41:37,A座-闸机,商业化中心/商业产品部
030095,金桂,2026-04-02 10:13:29,A座-闸机,星云科技/技术平台中心/应用研发部
030395,韩明涛,2026-03-23 08:43:30,A座-闸机,星云科技/用户增长中心/市场部
30024,吴军,2026-03-10 10:05:25,A座-闸机,星云科技/技术平台/应用研发部
30270,许刚华,2026-04-07 10:30:17,A座-闸机,星云科技/商业化中心/销售二部
30491,张刚,2026-04-26 08:57:38,A座-闸机,职能线/财务部
30391,褚平刚,2026-04-21 10:23:16,A座-闸机,用户增长/内容运营部
30461,赵平丽,2026-03-27 09:02:05,A座-闸机,星云科技/职能线/人力资源部
030420,吕娜,2026-04-22 09:17:22,A座-闸机,用户增长/内容运营部
030301,华艳伟,2026-04-20 08:47:57,A座-闸机,商业化中心/商业产品部
30296,何艳洋,2026-04-28 09:16:58,A座-闸机,商业化中心/商业产品部
30393,孙勇军,2026-04-20 09:18:38,A座-闸机,星云科技/用户增长中心/内容运营部
030505,郑曦军,2026-03-25 08:57:36,A座-闸机,职能线/行政法务部
030117,许天伟,2026-03-26 10:47:02,A座-闸机,星云科技/技术平台中心/应用研发部
30129,沈娜,2026-03-13 10:35:02,A座-闸机,技术平台中心/数据智能部
30391,褚平刚,2026-04-08 08:57:18,A座-闸机,用户增长/内容运营部
030263,赵兰强,2026-04-02 10:06:12,A座-闸机,星云科技/商业化中心/销售一部
030220,施强,2026-04-08 08:17:41,A座-闸机,星云科技/商业化中心/商业产品部
30362,曹杰敏,2026-04-14 08:49:42,A座-闸机,商业化中心/销售二部
030547,王兰华,2026-04-09 10:29:25,A座-闸机,商业化中心/销售一部
030409,冯英磊,2026-04-21 09:56:56,A座-闸机,星云科技/用户增长中心/市场部
030304,卫娜,2026-04-17 08:53:40,A座-闸机,商业化中心/销售一部
30332,何欣,2026-04-22 09:19:20,A座-闸机,商业化中心/商业产品部
30365,陶强霞,2026-03-17 09:42:37,A座-闸机,星云科技/商业化中心/商业产品部
30181,杨秀,2026-04-01 10:15:31,A座-闸机,星云科技/技术平台/应用研发部
030273,何曦敏,2026-03-05 10:14:11,A座-闸机,商业化中心/销售二部
030387,吕磊涛,2026-03-24 08:05:14,A座-闸机,星云科技/用户增长中心/市场部
30090,韩磊宇,2026-04-13 10:18:24,A座-闸机,技术平台中心/应用研发部
030360,曹浩,2026-03-13 09:37:02,A座-闸机,商业化中心/商业产品部
30131,孙杰,2026-03-04 08:50:44,A座-闸机,星云科技/技术平台中心/数据智能部
030430,钱英晨,2026-04-13 10:46:56,A座-闸机,用户增长/内容运营部
030008,金悦,2026-04-01 08:26:12,A座-闸机,星云科技/技术平台/数据智能部
30436,许刚,2026-04-20 09:16:29,A座-闸机,用户增长/市场部
030029,何静强,2026-03-12 09:32:54,A座-闸机,星云科技/技术平台/基础架构部
30333,施平,2026-03-23 08:47:42,A座-闸机,星云科技/商业化中心/商业产品部
030253,赵磊勇,2026-03-13 08:48:19,A座-闸机,星云科技/商业化中心/销售二部
030070,朱晨平,2026-04-13 09:43:32,A座-闸机,星云科技/技术平台中心/应用研发部
30469,尤斌芳,2026-03-12 10:23:30,A座-闸机,星云科技/职能线/行政法务部
030372,韩华斌,2026-04-02 10:44:42,A座-闸机,星云科技/用户增长中心/内容运营部
30388,姜伟,2026-03-20 09:49:02,A座-闸机,星云科技/用户增长中心/市场部
30117,许天伟,2026-03-06 10:28:08,A座-闸机,星云科技/技术平台/应用研发部
030338,陈悦勇,2026-03-05 09:46:01,A座-闸机,星云科技/商业化中心/商业产品部
030327,尤芳,2026-03-17 08:18:47,A座-闸机,星云科技/商业化中心/销售一部
30485,朱天静,2026-03-09 09:03:31,A座-闸机,星云科技/职能线/人力资源部
030087,褚杰,2026-03-20 09:01:53,A座-闸机,技术平台中心/应用研发部
030115,沈红欣,2026-03-25 08:45:35,A座-闸机,技术平台中心/基础架构部
030225,赵静浩,2026-03-19 08:05:33,A座-闸机,商业化中心/销售一部
30365,陶强霞,2026-04-10 08:47:25,A座-闸机,星云科技/商业化中心/商业产品部
30308,尤娜英,2026-03-12 10:01:43,A座-闸机,星云科技/商业化中心/销售二部
030384,魏强斌,2026-03-19 09:51:19,A座-闸机,星云科技/用户增长中心/市场部
30292,吴晨天,2026-04-23 08:17:57,A座-闸机,星云科技/商业化中心/销售二部
30133,褚华,2026-03-20 10:38:11,A座-闸机,星云科技/技术平台中心/数据智能部
30109,孙玉,2026-03-19 09:07:25,A座-闸机,星云科技/技术平台中心/应用研发部
30147,陶涛,2026-03-18 08:59:49,A座-闸机,技术平台中心/数据智能部
030023,沈娜静,2026-04-22 09:08:04,A座-闸机,技术平台中心/数据智能部
030374,严桂敏,2026-03-13 08:54:46,A座-闸机,星云科技/用户增长中心/市场部
30198,褚杰,2026-03-16 10:23:30,A座-闸机,技术平台中心/数据智能部
30347,魏萍涛,2026-04-22 10:03:46,A座-闸机,商业化中心/销售一部
030062,陶伟斌,2026-03-13 08:55:26,A座-闸机,技术平台中心/基础架构部
030157,陶曦,2026-04-03 10:19:50,A座-闸机,星云科技/技术平台/应用研发部
030032,沈刚艳,2026-04-13 08:28:13,A座-闸机,技术平台中心/基础架构部
30167,张华秀,2026-04-08 08:01:45,A座-闸机,星云科技/技术平台中心/数据智能部
030352,吴军,2026-04-16 09:53:52,A座-闸机,星云科技/商业化中心/销售一部
30203,韩芳,2026-03-11 10:42:01,A座-闸机,技术平台中心/应用研发部
030152,郑明娜,2026-03-17 10:06:52,A座-闸机,星云科技/技术平台/应用研发部
30216,何欣,2026-03-02 10:24:15,A座-闸机,商业化中心/销售二部
030192,秦军娟,2026-04-14 08:15:00,A座-闸机,星云科技/技术平台中心/基础架构部
30329,秦玉,2026-03-23 08:31:52,A座-闸机,商业化中心/销售一部
30260,孙英桂,2026-04-02 09:30:31,A座-闸机,星云科技/商业化中心/销售一部
30308,尤娜英,2026-03-06 10:02:21,A座-闸机,商业化中心/销售二部
030002,卫静芳,2026-04-23 09:40:32,A座-闸机,星云科技/技术平台/数据智能部
30080,张洋,2026-04-30 10:26:56,A座-闸机,星云科技/技术平台中心/基础架构部
30488,姜涛悦,2026-04-14 10:21:23,A座-闸机,星云科技/职能线/行政法务部
030233,郑桂娜,2026-03-05 08:29:07,A座-闸机,商业化中心/销售二部
30537,曹萍明,2026-04-06 10:15:50,A座-闸机,星云科技/技术平台/应用研发部
030409,冯英磊,2026-04-01 08:53:48,A座-闸机,用户增长/市场部
030095,金桂,2026-03-02 09:15:31,A座-闸机,星云科技/技术平台/应用研发部
30187,孙超,2026-04-13 10:57:34,A座-闸机,星云科技/技术平台中心/数据智能部
30509,严芳超,2026-04-23 09:09:58,A座-闸机,职能线/财务部
30478,张娟,2026-04-01 08:34:13,A座-闸机,职能线/财务部
030294,吕玉晨,2026-03-31 09:50:38,A座-闸机,星云科技/商业化中心/商业产品部
030052,陶平,2026-03-16 09:53:06,A座-闸机,技术平台中心/基础架构部
30136,孔军萍,2026-03-30 08:27:52,A座-闸机,星云科技/技术平台/应用研发部
030141,魏强,2026-03-27 10:57:02,A座-闸机,星云科技/技术平台/基础架构部
030325,钱萍敏,2026-03-03 08:21:21,A座-闸机,星云科技/商业化中心/销售二部
030103,沈刚悦,2026-04-01 10:54:51,A座-闸机,星云科技/技术平台/应用研发部
30389,冯曦曦,2026-03-05 09:11:54,A座-闸机,用户增长/市场部
030500,金晨芳,2026-03-30 10:52:42,A座-闸机,星云科技/职能线/行政法务部
30123,孙英,2026-03-20 10:28:12,A座-闸机,星云科技/技术平台中心/数据智能部
030395,韩明涛,2026-03-25 08:21:40,A座-闸机,用户增长/市场部
30407,吕兰浩,2026-03-18 10:46:11,A座-闸机,星云科技/用户增长中心/内容运营部
30433,严娟,2026-04-20 10:08:27,A座-闸机,星云科技/用户增长中心/市场部
30419,陶桂杰,2026-04-22 10:58:39,A座-闸机,星云科技/用户增长中心/内容运营部
030353,曹涛天,2026-03-17 08:28:34,A座-闸机,星云科技/商业化中心/销售二部
30185,王秀芳,2026-03-20 09:07:47,A座-闸机,技术平台中心/基础架构部
030366,陈志,2026-03-31 09:36:53,A座-闸机,星云科技/商业化中心/销售一部
30407,吕兰浩,2026-04-01 09:55:32,A座-闸机,用户增长/内容运营部
30350,尤杰,2026-04-01 09:44:59,A座-闸机,商业化中心/销售一部
030210,尤艳萍,2026-04-24 09:36:16,A座-闸机,星云科技/技术平台/基础架构部
030333,施平,2026-04-26 08:12:01,A座-闸机,商业化中心/商业产品部
30314,王志敏,2026-04-02 09:06:19,A座-闸机,星云科技/商业化中心/销售一部
30005,吕磊,2026-03-30 08:41:07,A座-闸机,技术平台中心/基础架构部
030467,姜红芳,2026-04-08 09:10:47,A座-闸机,星云科技/职能线/行政法务部
030484,卫军,2026-03-26 08:53:50,A座-闸机,星云科技/职能线/行政法务部
030364,王英怡,2026-03-17 08:58:36,A座-闸机,商业化中心/销售二部
30154,沈平芳,2026-04-06 09:08:58,A座-闸机,技术平台中心/应用研发部
030348,韩平芳,2026-03-26 09:47:54,A座-闸机,商业化中心/销售二部
30134,王超玉,2026-03-19 09:25:27,A座-闸机,技术平台中心/数据智能部
030406,沈涛,2026-03-12 08:50:01,A座-闸机,用户增长/内容运营部
030111,蒋斌娟,2026-04-27 10:25:19,A座-闸机,星云科技/技术平台中心/基础架构部
30228,金秀,2026-03-03 09:06:30,A座-闸机,星云科技/商业化中心/销售一部
30120,吴霞涛,2026-03-24 10:41:19,A座-闸机,星云科技/技术平台中心/基础架构部
030023,沈娜静,2026-04-08 09:41:49,A座-闸机,技术平台中心/数据智能部
030015,周芳洋,2026-03-16 08:07:34,A座-闸机,星云科技/技术平台/应用研发部
030501,李刚,2026-03-19 09:00:00,A座-闸机,职能线/财务部
30274,杨丽,2026-04-14 08:51:05,A座-闸机,商业化中心/商业产品部
30227,韩勇玉,2026-04-16 08:30:06,A座-闸机,商业化中心/商业产品部
30344,曹志,2026-04-26 08:18:14,A座-闸机,星云科技/商业化中心/销售二部
30063,华宇,2026-04-22 10:39:11,A座-闸机,星云科技/技术平台中心/应用研发部
30042,韩红军,2026-04-23 10:20:26,A座-闸机,星云科技/技术平台中心/应用研发部
030052,陶平,2026-04-30 09:29:15,A座-闸机,技术平台中心/基础架构部
30169,秦萍,2026-03-09 08:27:30,A座-闸机,星云科技/技术平台/数据智能部
030364,王英怡,2026-04-27 08:45:06,A座-闸机,星云科技/商业化中心/销售二部
030375,杨怡强,2026-04-14 08:34:41,A座-闸机,用户增长/市场部
30344,曹志,2026-04-29 09:16:54,A座-闸机,商业化中心/销售二部
30082,陶艳刚,2026-03-27 09:50:08,A座-闸机,星云科技/技术平台/基础架构部
30066,秦丽晨,2026-03-06 08:26:48,A座-闸机,星云科技/技术平台/应用研发部
30461,赵平丽,2026-03-19 09:11:34,A座-闸机,星云科技/职能线/人力资源部
030030,钱刚,2026-03-05 09:45:13,A座-闸机,星云科技/技术平台中心/应用研发部
30148,王丽斌,2026-03-26 10:46:47,A座-闸机,星云科技/技术平台中心/应用研发部
30157,陶曦,2026-03-05 09:58:11,A座-闸机,星云科技/技术平台/应用研发部
030089,曹欣,2026-03-03 09:34:40,A座-闸机,星云科技/技术平台/应用研发部
030411,孔玉平,2026-04-29 08:51:18,A座-闸机,用户增长/内容运营部
030296,何艳洋,2026-04-02 09:09:40,A座-闸机,商业化中心/商业产品部
030361,褚秀曦,2026-03-30 08:42:54,A座-闸机,星云科技/商业化中心/销售二部
30135,卫明,2026-04-06 08:26:46,A座-闸机,技术平台中心/基础架构部
030309,许浩敏,2026-03-24 10:22:16,A座-闸机,星云科技/商业化中心/销售一部
30396,朱艳,2026-04-20 08:29:28,A座-闸机,星云科技/用户增长中心/市场部
30013,尤斌,2026-03-20 10:38:05,A座-闸机,星云科技/技术平台/基础架构部
30084,李兰,2026-03-30 10:35:02,A座-闸机,星云科技/技术平台/应用研发部
030070,朱晨平,2026-04-08 08:21:37,A座-闸机,星云科技/技术平台/应用研发部
30021,魏萍,2026-03-26 09:43:02,A座-闸机,技术平台中心/应用研发部
30118,冯兰,2026-03-13 09:31:33,A座-闸机,技术平台中心/数据智能部
30410,钱宇桂,2026-04-21 09:22:47,A座-闸机,星云科技/用户增长中心/市场部
30412,杨刚浩,2026-04-15 10:08:18,A座-闸机,星云科技/用户增长中心/市场部
30302,曹悦,2026-03-02 09:53:08,A座-闸机,商业化中心/销售二部
030091,施萍,2026-03-30 09:47:00,A座-闸机,星云科技/技术平台中心/基础架构部
030407,吕兰浩,2026-04-06 08:08:00,A座-闸机,星云科技/用户增长中心/内容运营部
30486,秦静,2026-04-29 09:25:36,A座-闸机,星云科技/职能线/财务部
30510,韩伟,2026-04-24 09:07:52,A座-闸机,星云科技/职能线/行政法务部
030062,陶伟斌,2026-04-24 10:30:44,A座-闸机,技术平台中心/基础架构部
30187,孙超,2026-03-18 09:14:31,A座-闸机,星云科技/技术平台/数据智能部
030316,曹晨,2026-03-18 09:28:03,A座-闸机,星云科技/商业化中心/商业产品部
030482,李丽,2026-04-11 05:24:00,B1-货梯,职能线/财务部
30275,吴娟娟,2026-03-03 08:57:58,A座-闸机,星云科技/商业化中心/销售一部
30469,尤斌芳,2026-04-17 10:30:09,A座-闸机,星云科技/职能线/行政法务部
30058,吕敏洋,2026-03-12 09:44:40,A座-闸机,星云科技/技术平台中心/应用研发部
30218,姜英超,2026-03-20 09:16:07,A座-闸机,商业化中心/商业产品部
030183,王玉,2026-03-18 09:35:19,A座-闸机,技术平台中心/基础架构部
30091,施萍,2026-04-23 08:15:02,A座-闸机,星云科技/技术平台/基础架构部
030382,卫强英,2026-03-30 08:14:36,A座-闸机,星云科技/用户增长中心/内容运营部
30393,孙勇军,2026-03-14 14:08:22,A座-闸机,星云科技/用户增长中心/内容运营部
030375,杨怡强,2026-03-05 09:20:55,A座-闸机,用户增长/市场部
30387,吕磊涛,2026-04-20 08:52:26,A座-闸机,用户增长/市场部
030431,金志秀,2026-03-04 08:37:35,A座-闸机,星云科技/用户增长中心/市场部
030466,魏志志,2026-04-17 08:14:52,A座-闸机,星云科技/职能线/行政法务部
30345,李宇,2026-04-08 10:31:41,A座-闸机,星云科技/商业化中心/销售一部
030530,陈悦,2026-03-15 10:48:00,A座-闸机,星云科技/技术平台中心
030177,朱超,2026-04-20 09:09:44,A座-闸机,技术平台中心/数据智能部
030198,褚杰,2026-03-09 09:34:12,A座-闸机,星云科技/技术平台/数据智能部
030071,吕超华,2026-04-15 10:21:30,A座-闸机,星云科技/技术平台中心/应用研发部
030521,姜欣英,2026-04-27 08:56:05,A座-闸机,
30096,尤洋斌,2026-04-30 08:11:06,A座-闸机,技术平台中心/数据智能部
030113,尤娜超,2026-04-20 09:54:24,A座-闸机,星云科技/技术平台中心/基础架构部
030459,魏娜平,2026-04-16 08:52:30,A座-闸机,星云科技/用户增长中心/市场部
30213,周悦怡,2026-03-20 10:59:43,A座-闸机,星云科技/商业化中心/销售二部
30369,孔悦刚,2026-04-15 09:15:41,A座-闸机,星云科技/商业化中心/商业产品部
30324,褚霞晨,2026-04-10 10:43:13,A座-闸机,商业化中心/销售二部
30164,许军,2026-03-26 09:13:51,A座-闸机,星云科技/技术平台/应用研发部
030468,王志,2026-03-30 10:46:35,A座-闸机,星云科技/职能线/行政法务部
030336,孔欣,2026-04-23 10:50:14,A座-闸机,商业化中心/商业产品部
30475,施娟洋,2026-03-10 10:42:50,A座-闸机,星云科技/职能线/财务部
030053,朱勇悦,2026-03-18 09:27:07,A座-闸机,星云科技/技术平台/数据智能部
30012,施敏,2026-03-13 08:37:41,A座-闸机,星云科技/技术平台/基础架构部
030180,尤强,2026-04-06 09:34:26,A座-闸机,星云科技/技术平台/数据智能部
30351,赵天英,2026-03-16 09:19:32,A座-闸机,星云科技/商业化中心/商业产品部
30382,卫强英,2026-04-10 08:36:20,A座-闸机,星云科技/用户增长中心/内容运营部
30388,姜伟,2026-03-12 08:18:47,A座-闸机,用户增长/市场部
30087,褚杰,2026-04-06 10:38:06,A座-闸机,星云科技/技术平台中心/应用研发部
030411,孔玉平,2026-03-04 08:34:28,A座-闸机,用户增长/内容运营部
030175,许宇强,2026-03-26 10:54:29,A座-闸机,技术平台中心/基础架构部
030095,金桂,2026-04-21 09:46:23,A座-闸机,星云科技/技术平台中心/应用研发部
30412,杨刚浩,2026-04-30 08:25:27,A座-闸机,用户增长/市场部
030264,吴玉,2026-04-01 09:55:06,A座-闸机,商业化中心/销售二部
030500,金晨芳,2026-03-13 10:24:25,A座-闸机,职能线/行政法务部
30367,魏玉悦,2026-03-20 09:49:44,A座-闸机,星云科技/商业化中心/商业产品部
30058,吕敏洋,2026-03-13 10:53:01,A座-闸机,星云科技/技术平台中心/应用研发部
030060,赵超,2026-03-01 14:42:02,A座-闸机,技术平台中心/基础架构部
30269,许强玉,2026-04-07 10:32:14,A座-闸机,商业化中心/商业产品部
030163,蒋艳娟,2026-03-09 08:42:43,A座-闸机,技术平台中心/应用研发部
30050,金平磊,2026-03-17 10:10:01,A座-闸机,星云科技/技术平台/数据智能部
30505,郑曦军,2026-03-02 08:49:11,A座-闸机,职能线/行政法务部
30266,秦娟勇,2026-03-11 09:21:14,A座-闸机,商业化中心/商业产品部
030225,赵静浩,2026-04-20 09:55:06,A座-闸机,星云科技/商业化中心/销售一部
30272,钱华,2026-03-04 10:25:48,A座-闸机,商业化中心/销售一部
030310,褚丽,2026-03-31 08:47:15,A座-闸机,商业化中心/销售二部
30147,陶涛,2026-03-25 09:52:01,A座-闸机,星云科技/技术平台中心/数据智能部
30360,曹浩,2026-04-01 09:54:24,A座-闸机,商业化中心/商业产品部
030405,吴明,2026-04-26 10:40:38,A座-闸机,星云科技/用户增长中心/市场部
30274,杨丽,2026-03-11 10:50:07,A座-闸机,商业化中心/商业产品部
